"orgpermid","cusip","isin","ticker","siccode"
4295413777,"049392103","US0493921037","APL",4922
4295641240,"49428J109","US49428J1097","KE",3672
4295856130,"880890108","US8808901081","TX",3312
4295856134,"58733R102","US58733R1023","MELI",7389
4295856644,"","","JMS",NA
4295857066,"74440J101","US74440J1016","EYPT",3826
4295857402,"578450207","US5784502073","SYHTY",NA
4295857590,"","","AAGLY",NA
4295858403,"","","AGL",NA
4295858552,"","","LNGLY",NA
4295859017,"","","VIG",NA
4295859115,"","","ATEC",NA
4295859396,"","","PROX",NA
4295860057,"","","RAIL3",NA
4295860321,"90476B101","US90476B1017","UNLA",NA
4295860527,"683797104","US6837971042","OPY",6211
4295860710,"88338E107","US88338E1073","TRAB",2834
4295861577,"66704D101","US66704D1019","NEIK",3663
4295861585,"678046103","US6780461033","OBQI",1090
4295861707,"020772109","US0207721095","APT",3842
4295861748,"","","WC",NA
4295862063,"980905400","US9809054003","WHRT",NA
4295862068,"904907201","US9049072013","UVIC",3851
4295862195,"768027104","US7680271043","RVTI",NA
4295862576,"550021109","US5500211090","LULU",23
4295862688,"","","ACE.H",NA
4295862776,"","","UFS",2621
4295862852,"26784Y102","US26784Y1029","CNXS",72
4295862910,"","","TRP",4922
4295863066,"05460X109","US05460X1090","AXPWQ",3690
4295863439,"","","BSANTANDER",NA
4295863898,"444724108","US4447241088","HHGM",NA
4295863974,"370853103","US3708531039","GSIH",3310
4295864053,"16942P101","US16942P1012","CHGS",3990
4295864120,"00846L101","US00846L1017","FEEDQ",NA
4295864135,"374511103","US3745111035","GA",7389
4295864315,"16941X105","US16941X1054","CKUN",NA
4295864333,"585464100","US5854641009","MLCO",7011
4295864335,"75971T103","US75971T1034","SOL",3674
4295864459,"64110W102","US64110W1027","NTES",7372
4295864501,"98952K107","US98952K1079","HOGS",NA
4295864555,"30712A103","US30712A1034","FANH",6411
4295864651,"82859P104","US82859P1049","SCR",NA
4295864764,"71372U104","US71372U1043","PWRD",7389
4295864771,"16936H107","US16936H1077","CHGI",3620
4295864818,"056752108","US0567521085","BIDU",7370
4295864851,"86800C104","US86800C1045","STPFQ",NA
4295864907,"43713W107","US43713W1071","HMIN",7011
4295864910,"028731107","US0287311072","AOBI",2834
4295864982,"65248X102","US65248X1028","WESC",47
4295865106,"602675100","US6026751007","MR",3841
4295865138,"64125G100","US64125G1004","NWCN",7310
4295865168,"647581107","US6475811070","EDU",82
4295865171,"982580102","US9825801023","WUMSY",NA
4295865265,"169453107","US1694531070","CTFO",NA
4295865362,"16944A102","US16944A1025","CRJI",NA
4295865431,"22943F100","US22943F1003","TCOM",7389
4295865481,"168910206","US1689102069","CHNGQ",4923
4295865564,"929352102","US9293521020","WX",2834
4295865573,"16937S201","US16937S2014","CCGM",NA
4295865599,"316827104","US3168271043","JOBS",7361
4295865640,"823213103","US8232131032","SDTHQ",NA
4295865651,"16936R105","US16936R1059","CAAS",3714
4295865695,"","","GRUPOSURA",NA
4295866401,"","","KNEBV",NA
4295866566,"","","ORNBV",NA
4295866806,"","","ENGI",NA
4295867266,"","","ADP",NA
4295868633,"","","EEN",NA
4295868948,"","","DUGLY",NA
4295869118,"","","WCH",NA
4295869123,"","","RHM",NA
4295869167,"","","KBX",NA
4295869260,"","","HEN3",NA
4295869529,"","","HDD",NA
4295870015,"","","DPBI",NA
4295870665,"","","HYATTE",NA
4295871459,"","","SSWN",4412
4295872015,"09064K208","US09064K2087","TWSI",9995
4295873446,"","","JKCEMENT",NA
4295873511,"92932M101","US92932M1018","WNS",7389
4295873615,"82655M107","US82655M1071","SIFY",7370
4295873723,"","","COFORGE",7371
4295874860,"896438306","US8964383066","TRIB",2835
4295874891,"45103T107","US45103T1079","ICLR",8731
4295875459,"","","TRN",NA
4295875704,"","","PIRC",NA
4295875772,"63905A200","US63905A2006","NTZ",2510
4295880664,"58468P206","US58468P2065","MNOV",2834
4295881288,"38911N107","US38911N1072","GRVY",7389
4295884647,"","","INGA",6311
4295885013,"","","VCT",NA
4295885039,"","","RDSA",1311
4295885259,"","","SKT",NA
4295886791,"","","BRSAY",NA
4295886854,"","","SONI",NA
4295887220,"12642X106","US12642X1063","CTCM",4833
4295887239,"98387E205","US98387E2054","FIVE",NA
4295889387,"","","4PU",NA
4295889425,"","","A3M",NA
4295889660,"","","POP",NA
4295890165,"","","CAPIO",NA
4295890238,"","","BORG",NA
4295890395,"","","HUSQ B",NA
4295890532,"","","CFRO",NA
4295890578,"87162M102","US87162M1027","SYST",NA
4295891477,"43289P106","US43289P1066","HIMX",NA
4295892257,"82706C108","US82706C1080","SIMO",3674
4295892742,"","","SCGP",NA
4295894440,"","","GWPH",2834
4295894642,"87956T107","US87956T1079","VMED",NA
4295894781,"","","BOCA",NA
4295894827,"","","PFC",NA
4295894942,"","","SGC",NA
4295895343,"","","AANCY",NA
4295895519,"","","ABPA",NA
4295895701,"","","BAAA ",NA
4295896614,"","","PNGDF",NA
